date,pm25,T2M,RH2M,WS2M,pm25_lag_1,pm25_lag_7,month,smog_season
2022-10-30,210.09259259259258,23.47,42.61,1.34,202.6851851851852,129.75,10,1
2022-10-31,217.5,22.55,52.11,1.4,210.09259259259258,144.69565217391303,10,1
2022-11-01,240.25,23.08,53.0,1.73,217.5,173.05555555555554,11,1
2022-11-02,165.0,22.77,57.19,1.73,240.25,180.46296296296296,11,1
2022-11-03,200.375,22.79,57.39,1.35,165.0,187.87037037037035,11,1
2022-11-04,267.5,23.73,53.46,1.17,200.375,195.27777777777777,11,1
2022-11-05,175.0,22.48,66.01,2.35,267.5,202.6851851851852,11,1
2022-11-06,68.66666666666667,21.15,83.99,1.97,175.0,210.09259259259258,11,1
2022-11-07,81.33333333333333,21.78,70.02,1.08,68.66666666666667,217.5,11,1
2022-11-08,116.5,21.99,57.95,1.15,81.33333333333333,240.25,11,1
2022-11-09,151.0,21.17,52.3,0.81,116.5,165.0,11,1
2022-11-10,92.83333333333333,18.32,62.47,1.45,151.0,200.375,11,1
2022-11-11,124.0,18.73,57.65,1.92,92.83333333333333,267.5,11,1
2022-11-12,255.0,18.91,50.79,1.89,124.0,175.0,11,1
2022-11-13,163.5,19.01,48.05,1.28,255.0,68.66666666666667,11,1
2022-11-14,72.0,18.1,72.72,2.1,163.5,81.33333333333333,11,1
2022-11-15,165.0,17.57,70.69,1.61,72.0,116.5,11,1
2022-11-16,182.66666666666666,16.85,68.4,1.64,165.0,151.0,11,1
2022-11-17,102.0,17.26,58.76,2.04,182.66666666666666,92.83333333333333,11,1
2022-11-18,105.0,17.05,51.17,0.89,102.0,124.0,11,1
2022-11-19,12.75,16.98,48.14,1.37,105.0,255.0,11,1
2022-11-20,12.25,16.92,55.31,2.12,12.75,163.5,11,1
2022-11-21,11.0,16.36,56.96,1.59,12.25,72.0,11,1
2022-11-22,9.0,16.16,52.04,1.87,11.0,165.0,11,1
2022-11-24,26.95,17.36,41.62,1.37,9.0,182.66666666666666,11,1
2022-11-25,44.9,18.24,40.03,1.29,26.95,102.0,11,1
2022-11-26,62.849999999999994,17.35,47.57,1.36,44.9,105.0,11,1
2022-11-27,80.8,17.79,44.22,1.0,62.849999999999994,12.75,11,1
2022-11-28,98.75,17.57,45.89,1.0,80.8,12.25,11,1
2022-11-29,116.69999999999999,17.68,47.97,1.12,98.75,11.0,11,1
2022-11-30,134.64999999999998,17.48,48.3,1.27,116.69999999999999,9.0,11,1
2022-12-01,152.6,18.49,43.47,1.1,134.64999999999998,26.95,12,1
2022-12-02,170.54999999999998,18.59,39.76,0.77,152.6,44.9,12,1
